scenario,measure,rank_direction,matched_tracts,concentration_index,ci_low,ci_high,sii_per_1000,sii_low,sii_high,interpretation
uniform_005,income,higher = more advantaged,241,0.016172188807538526,0.007250094853980897,0.02488822938934154,0.5589107337974618,0.25164985937304474,0.8497048268506462,no material gradient
uniform_005,svi,higher = more vulnerable,239,-0.021605170892863592,-0.03114820844924371,-0.01127291372468296,-0.746742836067242,-1.075213092196129,-0.3930462510246921,vulnerability-under-serving
uniform_005,ice_income,higher = more privileged,240,0.011770649087874821,0.0028981052718840663,0.02046256115868501,0.4067777290677917,0.09981967295369391,0.7036658191310344,no material gradient
uniform_005,renter_share,higher = implementation-safeguard vulnerability,240,0.039833798630237116,0.030447948906849875,0.04799517309880189,1.3766022609274047,1.0565461725538043,1.6502422253868014,equity-promoting
uniform_005,minority_share,higher = historically underserved population share,241,-0.04585826295254486,-0.054108564315585785,-0.0358501973928025,-1.584861251776647,-1.8735062744348812,-1.2461483677257992,vulnerability-under-serving
greenable_005,income,higher = more advantaged,241,0.008573913393815863,-0.001248534536707856,0.017879274347010237,0.28616618161983154,-0.0413314684382084,0.5947746712874598,no material gradient
greenable_005,svi,higher = more vulnerable,239,-0.012053423113295963,-0.021643160581627262,-0.002123053561790188,-0.4023772254227473,-0.7211518629352189,-0.07079901734428246,no material gradient
greenable_005,ice_income,higher = more privileged,240,0.005075640455092539,-0.0037369499778077933,0.015206648262947767,0.16940755356663173,-0.12436657601960463,0.5097506224279175,no material gradient
greenable_005,renter_share,higher = implementation-safeguard vulnerability,240,0.040480419517661896,0.031292393923656216,0.050060848790933185,1.3510982305607384,1.0389850404676337,1.6623748316733828,equity-promoting
greenable_005,minority_share,higher = historically underserved population share,241,-0.03657945102861002,-0.04570804838472938,-0.027163110227826998,-1.2208896154884286,-1.5114015392751337,-0.9090466931673181,vulnerability-under-serving
lulc_masked,income,higher = more advantaged,241,0.03300198487239215,-0.079314644477066,0.1514361360242113,0.13964338664792833,-0.34139201807511055,0.6347348717177901,advantage-concentrating
lulc_masked,svi,higher = more vulnerable,239,-0.09048607118766389,-0.22577288148106217,0.0244387133950172,-0.3822956132627581,-0.8820117996336184,0.11704828577064647,vulnerability-under-serving
lulc_masked,ice_income,higher = more privileged,240,0.03639217874894581,-0.0755356339312303,0.15193642937549018,0.15397782185950104,-0.3362847378528053,0.6179623861111435,advantage-concentrating
lulc_masked,renter_share,higher = implementation-safeguard vulnerability,240,-0.09622062441689741,-0.2489797391372753,0.0329172289176864,-0.4071161077736839,-0.9407206673349539,0.15720609176129857,vulnerability-under-serving
lulc_masked,minority_share,higher = historically underserved population share,241,-0.04627990190856555,-0.15068910383095555,0.05352390824325721,-0.19582707710566796,-0.6145087052202387,0.24456820307569985,vulnerability-under-serving
canopy_30pct,income,higher = more advantaged,241,-0.025193600246791157,-0.043398527935361406,-0.0067426861817505915,-6.317803801205656,-10.9058292691106,-1.6919356025809247,equity-promoting
canopy_30pct,svi,higher = more vulnerable,239,0.029132103152989162,0.013328848447231957,0.04628281646849725,7.307433496449748,3.39206361623558,11.717345544347928,equity-promoting
canopy_30pct,ice_income,higher = more privileged,240,-0.031991733969735175,-0.04923159307437631,-0.01512301952500751,-8.022684081181879,-12.319628057337214,-3.791870628620518,equity-promoting
canopy_30pct,renter_share,higher = implementation-safeguard vulnerability,240,0.07807839042675481,0.06048153656779404,0.0945720302163195,19.58000340192921,15.150907979955221,23.824136768366166,equity-promoting
canopy_30pct,minority_share,higher = historically underserved population share,241,-0.008074419792119515,-0.021896639064900168,0.006914049224832958,-2.0248237471212622,-5.590893026274952,1.722960599168612,no material gradient
best_potential_p95,income,higher = more advantaged,241,-0.01754278169912966,-0.031947430794864055,-0.003006216006283923,-4.859681786995114,-8.812479483851652,-0.8393501830902155,no material gradient
best_potential_p95,svi,higher = more vulnerable,239,0.020383489966685066,0.005198916568811167,0.03587797850077301,5.647994917732649,1.4468442751119952,9.877436166819049,equity-promoting
best_potential_p95,ice_income,higher = more privileged,240,-0.023670423966617817,-0.04199177355255667,-0.009945484856000976,-6.557233783965755,-11.641333338386778,-2.774755572753848,equity-promoting
best_potential_p95,renter_share,higher = implementation-safeguard vulnerability,240,0.07089809700211748,0.05673748884051287,0.08330454155918857,19.64034938862114,15.812717740463473,23.12936564342505,equity-promoting
best_potential_p95,minority_share,higher = historically underserved population share,241,-0.013022562094930938,-0.025031049515717562,0.0013441775835158869,-3.6074956023586924,-6.892817277895801,0.37338147221938345,no material gradient
health_priority_feasible,income,higher = more advantaged,241,0.07773669045761024,-0.04076150948005246,0.19569120987579033,0.26291498165117894,-0.15526739997744649,0.6580925686861478,advantage-concentrating
health_priority_feasible,svi,higher = more vulnerable,239,-0.1388351957257872,-0.25613211424569504,-0.028766990458290592,-0.4696828851677729,-0.8595684699047221,-0.0924777767826061,vulnerability-under-serving
health_priority_feasible,ice_income,higher = more privileged,240,0.07930094064960827,-0.03998820511474341,0.2043699778592371,0.26821788302120153,-0.15733014249739014,0.6378403861648303,advantage-concentrating
health_priority_feasible,renter_share,higher = implementation-safeguard vulnerability,240,-0.15092298536151752,-0.2717889063930276,-0.0012191429430671408,-0.5104635998174117,-0.9210740879761548,-0.0038691012940267524,vulnerability-under-serving
health_priority_feasible,minority_share,higher = historically underserved population share,241,-0.08523320842536006,-0.19045867794858892,0.01151243613822051,-0.2882691210200712,-0.6155733310285442,0.042128662870418165,vulnerability-under-serving
equity_priority_feasible,income,higher = more advantaged,241,-0.2980427536340922,-0.4146495573240934,-0.1389120600976386,-0.6547954535327055,-1.0741677855488436,-0.22934218051563926,equity-promoting
equity_priority_feasible,svi,higher = more vulnerable,239,0.3063704982623879,0.18246417116863828,0.3989235984568099,0.6727693661071034,0.3263613038017817,1.06999299812786,equity-promoting
equity_priority_feasible,ice_income,higher = more privileged,240,-0.2945848091824026,-0.4182727052846314,-0.14632518751390156,-0.6472364890184635,-1.0941320886492965,-0.26125842841811403,equity-promoting
equity_priority_feasible,renter_share,higher = implementation-safeguard vulnerability,240,0.043096209161469265,-0.15394877399806806,0.2072000123584691,0.09468729628350764,-0.3006075049663848,0.5411591165035505,equity-promoting
equity_priority_feasible,minority_share,higher = historically underserved population share,241,0.30397945533314763,0.1900600836951937,0.394310625809512,0.6678382980042549,0.3479810926155995,1.0351968337656432,equity-promoting
balanced_priority_feasible,income,higher = more advantaged,241,-0.2661855588556086,-0.39639592605940466,-0.11901358870801926,-0.6093285750773507,-1.0789439927097877,-0.2174276789779826,equity-promoting
balanced_priority_feasible,svi,higher = more vulnerable,239,0.27233087854619364,0.149217285761096,0.38215981806103283,0.6231248713853376,0.28123650400502703,1.060283018143732,equity-promoting
balanced_priority_feasible,ice_income,higher = more privileged,240,-0.2640904806376599,-0.3778012474368412,-0.13051093050602255,-0.6045690530222055,-1.0459945890704432,-0.2548448485562791,equity-promoting
balanced_priority_feasible,renter_share,higher = implementation-safeguard vulnerability,240,0.05333823509679355,-0.13820145992552924,0.21862766173071202,0.1221045385826974,-0.2759723014254919,0.5638088580379327,equity-promoting
balanced_priority_feasible,minority_share,higher = historically underserved population share,241,0.260921758275464,0.16137436567621677,0.35418618991995,0.5972791456463188,0.3096589630571873,0.9174697627608784,equity-promoting
